"UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR"
170806,"R",244,"R",672,"R",36,"R",260,"R",0,"R",0,"R",260,"R",186,"R",72,"R",5,"R",0,"R",0,"R",5,"R",1,"R",20,"R",11
170967,"R",129,"R",404,"R",32,"R",141,"R",0,"R",0,"R",141,"R",84,"R",60,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",13
170976,"R",7252,"R",9090,"R",80,"R",7426,"R",0,"Z",0,"R",7426,"R",7238,"R",97,"R",40,"Z",0,"Z",0,"R",40,"R",32,"R",80,"R",11
171100,"R",9622,"R",11407,"R",84,"R",9277,"R",0,"Z",0,"R",9277,"R",8354,"R",90,"R",94,"R",0,"R",0,"R",94,"R",61,"R",65,"R",17
171128,"R",1370,"R",1538,"R",89,"R",1458,"R",0,"R",0,"R",1458,"R",1295,"R",89,"R",4,"R",0,"R",0,"R",4,"R",2,"R",50,"R",13
171137,"R",1097,"R",1852,"R",59,"R",1142,"R",0,"R",0,"R",1142,"R",942,"R",82,"R",15,"R",0,"R",0,"R",15,"R",6,"R",40,"R",16
171146,"R",520,"R",1735,"R",30,"R",486,"R",0,"Z",0,"R",486,"R",378,"R",78,"R",47,"R",0,"Z",0,"R",47,"R",22,"R",47,"R",14
171456,"R",1539,"R",2079,"R",74,"R",1139,"R",0,"R",0,"R",1139,"R",888,"R",78,"R",8,"R",0,"R",0,"R",8,"R",5,"R",63,"R",18
171483,"R",408,"R",875,"R",47,"R",32,"R",0,"R",0,"R",32,"R",27,"R",84,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",13
171492,"R",318,"R",748,"R",43,"R",319,"R",1,"Z",0,"R",318,"R",250,"R",79,"R",22,"R",0,"R",0,"R",22,"R",15,"R",68,"R",14
171571,"R",2226,"R",3843,"R",58,"R",2189,"R",0,"R",0,"R",2189,"R",1706,"R",78,"R",47,"R",0,"R",0,"R",47,"R",20,"R",43,"R",17
171599,"R",256,"R",381,"R",67,"R",334,"R",0,"R",0,"R",334,"R",205,"R",61,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",17
171881,"R",43,"R",80,"R",54,"R",39,"Z",0,"Z",0,"R",39,"R",23,"R",59,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",9
