UNITID,TotalLiabilities,EndowmentAssets
159647,400889766,99176307
203757,18148015,9442304
117946,348897000,720022000
146719,390403624,1054708355
163046,167911295,320584222
159656,369047000,246500178
226383,31097624,45855534
153834,35083596,204542420
135364,939549,1368474
213668,54304422,191145000
132657,90117589,42918486
106342,98823621,97328611
173902,95007000,881667000
192624,825102,NA
170806,50632216,37972446
153861,30224000,12113000
161509,14132040,17656671
161299,44270399,52011514
203775,18432515,25614176
151777,29208225,76829584
155496,6336704,5033262
192703,117176820,160164930
192712,24492543,41205628
192749,33368936,29686763
461528,210435,40397
239071,5769146,309966
151786,155587756,126907319
239080,5734942,10599666
203845,45735042,91722343
192819,271316575,468284843
239105,491476000,996999000
198899,47829140,60811910
237525,253943040,226038119
173452,3803453,28011103
151810,2173062,NA
232672,25187602,33785553
163295,95568576,117405397
192864,58550088,30340471
232706,170048009,32420212
220710,34592457,111238733
178059,104546370,80287156
213826,103485642,60780748
166674,124779976,20309653
167288,32963482,22979412
166683,6431621000,24572716000
166692,107145060,56133736
200226,8537203,13190905
164270,49278000,156673000
147013,41068869,40151472
226587,33152025,114445287
159717,169414718,20920613
155511,18879665,714636042
166656,152753503,1870267271
490328,9806698,NA
218335,1335192292,534532443
118693,7817174,21196355
140447,320513679,481905976
153977,29600256,11546487
203960,3210526,31207122
193016,250955625,336521742
213987,65426690,32838023
198950,56486135,138962671
166850,191457043,86879373
193052,6165659,1418431
193070,74062,NA
417752,49362,845052
213996,95739966,132098420
147129,NA,2888584
198969,30707543,48206066
190114,62899634,893675
174020,67718000,9735000
127565,293203320,28890481
166869,78531000,57666000
451103,2091566,NA
204006,NA,NA
204015,NA,NA
204024,955725451,812500000
171100,4008865779,4986233000
171128,240365260,169088791
245953,4614290,3916519
199458,4160596,4560298
481225,70394,193510
155520,18957795,18803079
482158,212022114,17662893
220978,253883988,153635992
230959,511661000,1597984000
119058,NA,NA
181330,20395419,28169280
157377,25980698,35299434
178208,4449265,38314421
226833,165749526,112954045
101675,18718069,30341252
461883,810643,NA
214041,375104536,46859301
486901,14197283,56151084
147244,33424710,94445822
175980,29785235,110471025
239309,7881931,4095645
239318,36095239,90335690
484844,26680886,NA
174127,29028070,57981930
174358,60652000,38924000
173920,170901000,80553000
200253,29237017,46608012
214069,59134816,73650588
176664,3196850,449665
176053,47213614,114430381
176080,1336145286,894682468
176035,66856104,71941861
176044,74143317,4460813
178244,31737338,5063768
178341,128452170,53877747
179566,578971646,NA
178411,244041375,282592656
178369,24560235,12228141
178387,106870846,40378556
129774,20812126,9384025
193292,125919103,56171754
147341,31120397,141991869
185572,49414201,163753000
193308,80743592,NA
262165,NA,NA
180461,476063370,312991891
180179,30329861,36754025
180416,35771998,85649782
185590,707104000,61568000
199032,10953193,10261351
166911,12180864,3114724
147369,180800801,53980101
214148,12583682,51242825
214157,127597000,167363000
157386,268023760,70848750
140553,24315150,263393368
163453,305959737,106488900
154004,27736437,64301016
140571,1013832,950211
218399,2193046,13127079
214166,25458728,65879588
209241,NA,31379060
204176,4053991,2603680
166939,280119010,1101548227
219198,26704186,38010214
239390,7133554,27619770
154013,15293241,43902317
193353,48042397,11106728
119173,75966758,174149175
189282,749574,1191100
204200,24724764,74062899
163462,90036898,64288711
204194,10765523,29891845
214175,111139012,337125542
157401,262230714,128647523
204264,37997748,96032078
127653,19150147,4686183
147536,39978555,73182745
119605,305986000,1018003000
147590,10762073,11239401
209296,2146461,1443669
193584,58329034,93528773
181297,2642433,13865945
181446,16290000,82773000
228325,31017638,15489142
163532,878452,NA
214272,56474055,24549502
445692,16259740,NA
441900,78566000,1607000
262129,63637284,48987288
182980,32733613,35494414
208725,1925421,970203
185129,364188607,18493002
185828,619594000,179523000
187897,118870492,13151236
187967,213533543,96663539
188030,845621937,88674297
159948,1973614,82053303
440396,2357498,326124
418126,3349990,NA
439783,3526372,NA
461148,67587291,NA
194091,327591757,116921221
194116,14244817,11143613
193900,12137224000,6651982030
218414,47411752,21240928
155335,18268923,26927451
119775,9654407,NA
496803,483875,NA
193973,72675784,100292602
159966,196506392,16940430
167260,28131733,31678442
444787,16173771,NA
232937,171246006,77511231
461795,6415714,NA
199102,409830739,201941618
199157,296026642,59634623
199193,2509551285,2219515999
199209,23466725,13726892
147660,88472623,139739937
174437,14822371,4597318
200332,339790652,486725427
218441,9413708,34404825
147679,84813816,108329352
147776,74009575,14961160
207263,44178947,44726355
167358,2311352000,1852620000
118888,NA,NA
482705,NA,NA
105330,998642322,283386638
147703,394964947,114772816
157447,337378000,138582000
171456,149193681,19835537
219259,21970291,56148289
239512,6212493,6415604
217606,3255753,779802
377546,7145886,NA
178624,172749398,48730402
142461,31144929,71750548
236133,30292000,11784000
487603,NA,NA
154101,10693829,76928958
174507,9569210,3404054
207306,9520309,38260410
160038,170814509,18934642
147767,3621695000,10981265000
171492,9153027,122890733
230995,90934000,280542000
368452,405936,NA
120184,35229357,23408314
163578,30649047,52379412
136215,877763432,252077000
174525,1937595,900245
495059,38898,NA
152099,22304182,5368595
171571,481445494,151474929
101912,37348020,9755394
204501,489663374,1270465000
120254,126048943,654297483
140696,9227108,51089713
201964,8167165,6618574
204617,48014586,19820216
204635,113460349,216103158
204671,3211053,6550036
204796,11442610828,7903034629
204820,NA,NA
204802,NA,NA
204857,1123793495,779546455
204866,NA,NA
204909,83470558,306030062
207403,24464655,172482274
207324,50257381,50488087
207458,121036228,180751663
207351,23738219,15710827
207388,1298238687,603919302
206835,2075720,11335922
232982,561221824,319812987
147828,143138835,68596931
207582,34178876,48540606
209490,2641310000,1253372000
209506,119282856,34872899
209542,1813788457,1038691221
440828,NA,NA
120403,42650683,32677120
155636,NA,NA
428259,NA,NA
454582,NA,NA
155627,139364666,25884787
464226,NA,NA
204936,47302050,127686133
107512,52618536,140325456
227331,35821535,50673849
178679,1013620,5387955
194310,897979934,262098164
378576,4032397,NA
414595,14296252,NA
236230,89946000,131845000
209603,NA,NA
120768,21124389,12546490
120838,1581376,NA
120865,68420947,32072219
209612,127086793,64811367
140720,21058049,11639007
136330,123538207,109770462
154174,61614848,79568037
120698,21920444,1147970
178721,38785451,59581851
243823,20619000,46703000
451927,5194528,3241105
227429,18056366,5088211
194392,17180778,36318604
214883,3752668,3898887
214971,32802393,44902219
215053,6051248,3393269
214777,6837275000,4750032000
214801,NA,NA
214689,NA,NA
214698,NA,NA
214704,NA,NA
214731,NA,NA
214591,NA,NA
214759,NA,NA
214786,NA,NA
214713,NA,NA
214768,NA,NA
214670,NA,NA
214795,NA,NA
214625,NA,NA
214810,NA,NA
214652,NA,NA
214643,NA,NA
214829,NA,NA
479956,NA,NA
498571,657118160,123168203
121150,843921000,1319031000
181534,14007079,22113290
199306,39979500,19921108
107600,15947836,14822763
140818,33072176,49782350
440794,4854619,298423
155681,70225669,110704846
121257,101409987,191881805
260813,NA,NA
183080,101425682,41204855
121309,92967154,87146089
215442,55966112,64289492
456481,NA,NA
456490,NA,NA
121345,424564000,3008965000
205027,4252410,33268221
209807,466879654,123171915
130183,57319031,NA
227526,129121140,150054853
194578,209017461,290371269
218539,70967940,107646357
490045,2821463,NA
105589,10226824,2759573
186131,6719933000,33401865000
148016,44923149,592903744
455770,5651521,25322
217402,362793346,352820557
380438,10692774,NA
496283,NA,NA
151102,91221885,83749624
489779,154299665,178031
490805,87156312,55671355
243780,1406423323,3971950988
199412,125058555,168610681
148131,41792514,18115236
130226,508914300,764457116
384421,673955,NA
194657,66488,NA
194666,3510236,NA
186186,4161676,NA
405854,311698,NA
484871,3201416,NA
205124,433840,132779
194718,5000057,NA
194763,4812259,78867
233277,215927566,74282583
186201,269858000,NA
207157,1912559,794992
233301,23159437,187140000
233295,70787298,217085858
209922,180387429,790961122
490230,1487877,NA
231651,99853000,124604000
167598,66474042,52200259
127918,88607636,92257908
140872,42043136,44123265
194824,815174000,1000295000
178989,2948890,NA
217420,79906783,47463260
217493,212603572,427789730
221351,108843937,431583452
227757,1756351000,7931811000
186283,168897000,66827000
136774,169034639,70500683
239628,45185810,114037583
183211,59956657,41495760
233426,56471928,185244775
215655,116857924,49353539
194958,32096950,34775443
195003,702632000,1384518000
170967,22543046,4936837
148405,12284328,31680660
179043,46315085,36495416
180595,14226073,44324445
127945,5569937,NA
217518,120130346,77367776
207661,57616521,19710242
136950,247417000,484716000
148487,292831000,152797000
152318,129344158,294620999
445735,247955629,34573157
215691,32991629,11604677
184782,1602208348,434635893
148511,1888566000,905797000
195128,21230113,46682616
176318,15086130,55371694
186371,629695691,88275358
186380,3655118842,1720866182
186399,834294509,250906779
172033,2378385,33990029
130253,571042177,316002568
172051,111647206,109975868
154235,63566547,247436298
183239,95439868,213587856
149028,3009956,9359443
199582,45418598,13607529
216047,4648028,19213651
174783,100106000,47158000
227845,114522291,146625204
186618,29046548,19945344
148575,NA,6651606
215743,53698487,60553787
167677,315710,38388679
174792,72391713,300875481
160409,168718,525242
161518,17425971,16860942
215770,618297711,454664777
137032,99371490,76085828
179159,633325508,1879430141
236452,31894830,46594574
152390,83097846,321859342
123554,139859000,178878000
174817,17371008,70711184
152381,27654283,11369245
231059,68690527,95450950
239716,31156770,188795538
186432,95523416,43606171
215798,26883377,146740767
148627,28573794,48413323
199607,20751996,60510012
167729,312672031,69619582
237783,4646283,NA
163851,153294615,84407176
180647,18637201,19896156
217536,44821000,92360000
227881,195070097,190847399
102049,643748079,469998443
122296,270054587,43720867
112084,7852593,694522
122409,3252472057,478618726
120166,1219946,NA
122506,93737000,65183000
122597,1816598095,175553573
122755,2401908871,207715718
493895,1284260,NA
122931,545456000,1555250000
195304,115645868,148109145
494542,8584302,NA
140951,279913943,412027000
140960,127826509,12729394
404338,1915747,NA
143048,NA,416852000
197151,543226846,NA
228042,31688977,86343456
123165,131784297,503038388
488448,92850,NA
236577,110676000,162552000
236595,205451175,318305031
102058,1003590,178760
232885,1790374,NA
186584,369131000,369807000
215947,55882890,62915652
195438,5958186,NA
123280,188203,47615
199643,23109698,14298337
205443,57132968,23593304
233541,114198136,85171488
237792,45980481,33732052
216010,311478313,71110523
140988,16167053,14534841
195474,61209106,189904049
172264,17951216,14838766
461759,5928476,NA
167783,314102250,249188228
154350,42404670,87173703
123457,30963714,7374442
219374,309124,7103580
195526,169810000,488201000
216038,269875888,52399313
167835,642338366,2564122544
110778,6664050,NA
399911,6064000,1523965000
123572,766934408,51580176
218733,128707872,19681117
219347,50919134,111334370
219356,181529108,269079345
366003,5750173,NA
480073,10460779,NA
251312,11328525,NA
101116,4303616,NA
459259,4717085,NA
139579,7403727,NA
449898,11883023,NA
459268,3000107,NA
133465,15852538,NA
179557,329126116,120375603
199759,25116090,44958471
233602,160986,NA
160612,367402925,23649556
207847,27103229,39483740
137564,90921053,10946366
221661,25306958,64734045
107983,74980135,63232948
123952,21467000,6805000
117575,420630,115850
117672,8956842,1667773
130493,66648218,40457103
149222,346916687,212993823
149231,140754536,40186050
228246,886535000,2163920000
206862,54127371,50029010
183026,440818745,64647512
210146,111163744,39813671
160621,262752631,13402004
