UNITID,TotalLiabilities,EndowmentAssets
444088,NA,NA
217156,1728851000,6718785000
180878,NA,9381504
219790,17494208,9220124
217165,241443000,232598000
210492,NA,59144965
211273,140257000,1208946000
211291,281905000,1167275000
153001,47565366,159225705
209409,12889924,19595731
150163,227755000,297229000
215114,15882065,14272849
183910,29841945,13401375
433420,6904173,NA
110361,414477041,157607036
112570,3125732,NA
110370,176555000,42631000
110316,20393115,1723671
110404,2685192000,4228841000
111081,67111404,249311896
486488,2123281,NA
110413,84859280,144984195
480781,904195,NA
496627,128936845,NA
110422,2164820940,296446884
115755,694429992,39670628
110529,1540859516,187532916
111188,188901248,19176893
110486,577368057,42735229
441937,597935875,19726893
110538,1099781311,100204970
110547,812708536,26555410
110574,882019099,21440172
110556,1380652367,241068519
110565,1957655807,142225508
110583,1995075386,132855011
110592,1417909778,62522647
409698,544965929,43519789
110608,1772945732,239940034
110617,1824580346,86290912
110510,1202618937,58296181
366711,841647771,36560347
110495,649760306,20529983
150172,13720197,6186182
176789,1126322,482920
169080,125660000,286119000
165167,48108455,15492455
206914,46094445,23739490
198136,150979445,210406971
156365,60543177,39253611
189705,62054431,147364503
201548,57246920,140653264
162061,5429739,6122824
448239,1547740,NA
173258,230515234,1255379173
211431,45571057,56831178
211440,1306379321,3231995579
199971,1199252,300269
489937,6210188,386000
180106,16697759,81002414
238458,44530363,93860249
219806,56704994,75538937
238476,127838822,164823037
201645,1203917901,2396658000
198215,12168249,386330862
211468,23892578,44484462
201654,29717894,50983878
158477,32806321,135148021
183974,40333141,15919996
106713,10057899,4456572
154855,8409746,5380219
176910,8501001,2347804
153108,70245551,98924047
128771,61401196,99588764
445267,NA,NA
176947,10742017,67710220
169248,274634695,265356840
201690,91941508,1859458
234827,215119870,60180064
488004,132185,NA
189857,1160606,NA
156408,196832092,402704759
180948,10693268,31219078
454245,NA,NA
489353,NA,NA
457129,NA,NA
475732,NA,NA
454227,NA,NA
475741,NA,NA
492759,NA,NA
486947,NA,NA
466921,NA,NA
486938,NA,NA
486956,NA,NA
489344,NA,NA
454236,NA,NA
466930,NA,NA
460871,NA,NA
141486,34363578,45517149
492069,637889,NA
230852,81012874,38732898
111948,544786000,804637000
111966,79610900,109922800
217688,50557190,29841392
444778,119394,NA
211556,75194513,80341504
211583,31865170,23381677
211608,57800566,1924019
181145,NA,NA
144005,24011466,8512681
198303,8858643,31989307
494630,850386,816274
219833,15182233,44330912
231712,257429574,54011627
201867,4981988,778732
217864,216575883,419791742
234915,19746242,4028637
217873,53056386,72574717
112260,1082543000,1319992000
138947,22010219,116477562
165334,195845000,486846000
153126,10305816,32726988
180832,8053251,5634826
190044,127129556,213957168
139311,139905643,20879752
156417,121398,23494403
169327,32315826,1390042
217882,2610040303,1124156325
202046,38368365,37610248
202073,45083906,58275695
202134,449690189,117821388
177038,4955232,22820406
217891,429940,22780
218724,528841129,57556431
153144,37331043,104478883
217907,15798955,34976913
161086,393656000,1160160000
182634,32152043,71949999
190099,489426664,1254676903
169442,42617541,90867689
388520,2743241,237821
217819,614315529,147503292
139250,46791465,10650721
167394,18517572,24403965
174747,46675117,130578580
181604,12714431,32085539
190558,376772592,20128515
160959,18087145,84444621
166124,267784408,1109264540
178697,26795291,651476183
493822,572234,NA
126669,72108632,11770715
126678,190005834,989823357
127556,291989763,59770524
126775,1064559945,386363861
128106,153125629,27145639
126818,2034687112,643276118
126827,45849916,NA
177065,13105692,159246801
217934,20672866,20040972
144281,172025010,191973543
217925,29356619,5124495
190150,5041632000,14782492000
202170,10928317,25812422
139366,150909346,104227476
498562,611373521,85141554
177083,5311,9377828
237330,29029626,45356064
173300,51481711,183959431
169363,NA,NA
224004,55551174,31799952
144351,54980627,32445226
112075,87466009,54499606
180984,25427142,82243089
173328,23120445,52401214
238616,43161381,138155905
493600,15268493,NA
128902,168526000,482358000
217961,36922598,88497169
162283,94475395,3508448
210331,7469368,1931844
