UNITID,11_CTOTALT,13_CTOTALT,14_CTOTALT,23_CTOTALT,24_CTOTALT,26_CTOTALT,31_CTOTALT,42_CTOTALT,43_CTOTALT,44_CTOTALT,45_CTOTALT,50_CTOTALT,52_CTOTALT,99_CTOTALT,09_CTOTALT,51_CTOTALT,11_CTOTALM,13_CTOTALM,14_CTOTALM,23_CTOTALM,24_CTOTALM,26_CTOTALM,31_CTOTALM,42_CTOTALM,43_CTOTALM,44_CTOTALM,45_CTOTALM,50_CTOTALM,52_CTOTALM,99_CTOTALM,09_CTOTALM,51_CTOTALM,11_CASIAT,13_CASIAT,14_CASIAT,23_CASIAT,24_CASIAT,26_CASIAT,31_CASIAT,42_CASIAT,43_CASIAT,44_CASIAT,45_CASIAT,50_CASIAT,52_CASIAT,99_CASIAT,09_CASIAT,51_CASIAT,11_CWHITT,13_CWHITT,14_CWHITT,23_CWHITT,24_CWHITT,26_CWHITT,31_CWHITT,42_CWHITT,43_CWHITT,44_CWHITT,45_CWHITT,50_CWHITT,52_CWHITT,99_CWHITT,09_CWHITT,51_CWHITT,11_CNRALT,13_CNRALT,14_CNRALT,23_CNRALT,24_CNRALT,26_CNRALT,31_CNRALT,42_CNRALT,43_CNRALT,44_CNRALT,45_CNRALT,50_CNRALT,52_CNRALT,99_CNRALT,09_CNRALT,51_CNRALT,11_BLACKHISRACES,13_BLACKHISRACES,14_BLACKHISRACES,23_BLACKHISRACES,24_BLACKHISRACES,26_BLACKHISRACES,31_BLACKHISRACES,42_BLACKHISRACES,43_BLACKHISRACES,44_BLACKHISRACES,45_BLACKHISRACES,50_BLACKHISRACES,52_BLACKHISRACES,99_BLACKHISRACES,09_BLACKHISRACES,51_BLACKHISRACES,11_OTHERRACES,13_OTHERRACES,14_OTHERRACES,23_OTHERRACES,24_OTHERRACES,26_OTHERRACES,31_OTHERRACES,42_OTHERRACES,43_OTHERRACES,44_OTHERRACES,45_OTHERRACES,50_OTHERRACES,52_OTHERRACES,99_OTHERRACES,09_OTHERRACES,51_OTHERRACES
101693,4,21,3,3,3,9,28,8,NA,NA,3,17,35,207,9,36,4,2,0,1,1,4,12,1,NA,NA,1,11,22,77,2,5,0,0,0,0,0,0,0,0,NA,NA,0,1,0,3,0,2,1,17,2,2,3,6,16,5,NA,NA,3,10,20,132,6,21,1,0,0,0,0,0,1,0,NA,NA,0,0,4,7,0,1,1,3,1,0,0,2,6,2,NA,NA,0,1,5,33,0,8,1,1,0,0,0,0,5,1,NA,NA,0,5,4,26,3,3
101709,5,45,NA,22,NA,15,36,24,NA,15,20,75,71,397,15,19,3,5,NA,6,NA,3,19,6,NA,1,8,20,48,141,7,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0,3,33,NA,17,NA,12,22,15,NA,10,13,54,48,278,11,15,1,1,NA,0,NA,0,3,1,NA,0,1,0,5,14,0,0,1,6,NA,4,NA,2,9,5,NA,5,5,19,14,83,4,4,0,2,NA,1,NA,1,1,0,NA,0,0,1,2,8,0,0
101879,37,104,0,18,NA,41,56,46,28,32,50,58,245,1059,39,185,28,17,0,6,NA,14,25,12,16,3,26,21,111,364,13,25,1,0,0,0,NA,0,0,0,0,0,1,1,14,20,0,2,22,87,0,15,NA,32,48,38,22,22,35,44,157,773,29,140,12,0,0,0,NA,1,1,3,0,0,3,2,23,57,1,3,1,12,0,2,NA,5,6,4,5,8,10,8,31,149,6,24,0,3,0,0,NA,0,0,0,0,0,0,0,9,13,0,1
101912,8,3,NA,1,18,32,NA,18,NA,14,5,2,27,189,7,37,8,0,NA,0,7,13,NA,2,NA,3,3,0,14,66,0,8,0,0,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0,0,1,0,0,2,0,NA,0,0,2,NA,2,NA,1,0,0,3,14,1,2,6,3,NA,1,18,30,NA,16,NA,13,5,2,24,172,6,34,0,0,NA,0,0,0,NA,0,NA,0,0,0,0,2,0,1
102049,16,48,2,15,3,18,16,40,NA,7,20,63,171,897,71,314,11,4,0,1,2,8,10,8,NA,5,7,15,96,273,15,63,0,0,0,0,0,2,0,0,NA,0,1,2,2,19,2,9,15,44,2,15,3,14,10,35,NA,4,12,54,150,740,59,246,0,0,0,0,0,0,1,1,NA,0,0,0,2,7,0,2,1,3,0,0,0,1,4,3,NA,3,6,7,11,90,9,30,0,0,0,0,0,0,1,0,NA,0,1,0,4,30,1,22
102094,76,86,140,22,NA,268,28,89,29,20,36,43,197,1772,36,529,59,12,105,3,NA,65,25,11,13,2,10,19,97,595,10,74,5,2,9,1,NA,18,0,1,0,0,1,1,2,70,0,26,48,65,95,15,NA,163,16,63,21,11,19,27,145,1126,22,322,2,0,4,0,NA,4,2,0,1,0,0,0,4,28,1,4,16,14,22,6,NA,58,10,21,6,8,13,9,32,425,11,142,2,1,6,0,NA,14,0,2,0,0,1,4,8,62,0,17
102368,94,145,NA,29,NA,51,55,231,115,129,78,57,418,1936,56,166,64,24,NA,4,NA,12,21,39,62,15,42,17,214,695,15,17,1,1,NA,0,NA,2,0,2,0,1,0,1,5,20,1,1,59,108,NA,22,NA,33,23,120,54,61,46,42,274,1170,36,112,12,0,NA,0,NA,5,3,0,0,0,0,2,25,53,1,0,18,25,NA,7,NA,9,27,93,59,59,26,11,95,585,15,44,2,0,NA,0,NA,0,1,4,1,2,2,0,6,31,2,1
102377,10,3,50,2,5,29,NA,20,NA,3,12,0,26,335,9,77,7,1,28,0,2,4,NA,2,NA,0,2,0,11,96,3,10,0,0,0,0,0,1,NA,0,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,0,0,5,0,1,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,10,3,48,2,3,28,NA,20,NA,3,12,0,24,314,9,72,0,0,1,0,2,0,NA,0,NA,0,0,0,2,12,0,2
102553,24,3,51,16,NA,27,13,59,14,18,34,18,97,717,10,198,20,0,39,6,NA,12,7,19,9,4,13,7,47,292,3,37,4,1,7,5,NA,4,2,7,0,2,7,2,15,99,1,33,13,2,27,6,NA,9,9,27,8,8,14,10,42,354,4,106,1,0,1,0,NA,0,0,3,0,0,0,0,9,22,0,2,5,0,7,2,NA,5,2,7,5,5,5,4,8,99,3,25,0,0,6,2,NA,1,0,9,0,3,5,1,11,63,1,12
102614,12,20,40,11,0,39,11,40,45,30,8,12,66,461,6,NA,11,7,29,2,0,9,6,6,26,3,4,5,33,197,0,NA,2,1,1,0,0,3,0,0,1,2,0,0,4,16,1,NA,5,11,22,8,0,22,6,27,27,11,4,6,37,262,3,NA,1,0,3,0,0,0,2,2,0,0,0,1,4,15,0,NA,2,3,9,0,0,3,1,5,9,1,3,1,7,57,0,NA,0,3,2,1,0,2,0,5,5,10,0,2,9,61,1,NA
